iter	Passed	Remaining
200	1711	6805
201	1718	6789
202	1725	6772
203	1732	6760
204	1740	6750
205	1747	6734
206	1754	6719
207	1760	6704
208	1767	6688
209	1774	6674
210	1784	6672
211	1793	6664
212	1802	6659
213	1809	6647
214	1816	6631
215	1824	6620
216	1831	6607
217	1837	6590
218	1845	6580
219	1854	6575
220	1862	6566
221	1870	6555
222	1880	6553
223	1893	6559
224	1901	6550
225	1909	6540
226	1918	6534
227	1931	6539
228	1940	6534
229	1951	6534
230	1968	6551
231	1981	6559
232	2000	6585
233	2016	6602
234	2025	6593
235	2036	6593
236	2045	6586
237	2057	6586
238	2066	6579
239	2074	6569
240	2087	6572
241	2096	6567
242	2106	6563
243	2114	6551
244	2126	6552
245	2134	6542
246	2143	6535
247	2155	6535
248	2163	6525
249	2170	6511
250	2177	6499
251	2193	6509
252	2201	6499
253	2207	6484
254	2217	6479
255	2225	6469
256	2234	6458
257	2242	6449
258	2249	6436
259	2259	6431
260	2268	6423
261	2277	6415
262	2286	6406
263	2297	6405
264	2306	6396
265	2317	6393
266	2332	6404
267	2341	6395
268	2350	6387
269	2357	6374
270	2364	6360
271	2374	6355
272	2381	6341
273	2389	6330
274	2398	6322
275	2407	6315
276	2418	6311
277	2425	6300
278	2433	6287
279	2441	6277
280	2448	6263
281	2461	6266
282	2471	6260
283	2481	6256
284	2491	6251
285	2500	6242
286	2508	6231
287	2516	6221
288	2523	6209
289	2530	6196
290	2537	6182
291	2545	6172
292	2554	6164
293	2564	6157
294	2576	6156
295	2583	6145
296	2591	6134
297	2600	6125
298	2610	6119
299	2619	6112
300	2629	6105
301	2637	6096
302	2646	6088
303	2656	6081
304	2666	6076
305	2675	6069
306	2690	6073
307	2700	6068
308	2711	6062
309	2718	6050
310	2725	6038
311	2733	6027
312	2740	6014
313	2747	6003
314	2756	5994
315	2764	5984
316	2771	5972
317	2778	5958
318	2785	5947
319	2792	5934
320	2803	5930
321	2812	5922
322	2821	5913
323	2830	5905
324	2840	5899
325	2854	5901
326	2863	5894
327	2873	5887
328	2880	5875
329	2892	5873
330	2899	5861
331	2906	5848
332	2915	5839
333	2923	5828
334	2930	5817
335	2938	5806
336	2946	5797
337	2953	5783
338	2959	5770
339	2966	5759
340	2973	5746
341	2983	5740
342	2990	5728
343	2997	5716
344	3005	5706
345	3017	5702
346	3026	5694
347	3033	5682
348	3040	5671
349	3049	5662
350	3056	5651
351	3064	5640
352	3071	5628
353	3077	5616
354	3084	5605
355	3092	5594
356	3099	5581
357	3105	5569
358	3112	5558
359	3119	5546
360	3126	5534
361	3133	5523
362	3141	5512
363	3152	5507
364	3163	5504
365	3174	5499
366	3183	5490
367	3189	5477
368	3197	5468
369	3205	5458
370	3213	5447
371	3220	5436
372	3227	5425
373	3234	5414
374	3242	5403
375	3249	5392
376	3256	5381
377	3263	5369
378	3269	5357
379	3277	5346
380	3284	5335
381	3290	5323
382	3297	5312
383	3304	5301
384	3312	5290
385	3321	5283
386	3328	5272
387	3335	5260
388	3343	5251
389	3349	5238
390	3354	5225
391	3361	5213
392	3367	5201
393	3373	5188
394	3378	5175
395	3385	5163
396	3390	5150
397	3396	5137
398	3402	5125
399	3408	5112
400	3414	5100
401	3420	5087
402	3426	5075
403	3432	5063
404	3437	5050
405	3443	5038
406	3449	5026
407	3455	5014
408	3461	5002
409	3470	4993
410	3478	4984
411	3485	4974
